age,Age class,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),TIME_PERIOD,Time,OBS_VALUE
Y85-89,From 85 to 89 years,C53,Malignant neoplasm of cervix uteri,2015,,0
Y85-89,From 85 to 89 years,C53,Malignant neoplasm of cervix uteri,2016,,0
Y85-89,From 85 to 89 years,C53,Malignant neoplasm of cervix uteri,2017,,0
Y85-89,From 85 to 89 years,C53,Malignant neoplasm of cervix uteri,2018,,0
Y85-89,From 85 to 89 years,C53,Malignant neoplasm of cervix uteri,2019,,0
Y85-89,From 85 to 89 years,C53,Malignant neoplasm of cervix uteri,2020,,0
Y85-89,From 85 to 89 years,C53,Malignant neoplasm of cervix uteri,2021,,0
Y85-89,From 85 to 89 years,C54_C55,Malignant neoplasm of other parts of uterus,2011,,0
Y85-89,From 85 to 89 years,C54_C55,Malignant neoplasm of other parts of uterus,2012,,0
Y85-89,From 85 to 89 years,C54_C55,Malignant neoplasm of other parts of uterus,2013,,0
Y85-89,From 85 to 89 years,C54_C55,Malignant neoplasm of other parts of uterus,2014,,0
Y85-89,From 85 to 89 years,C54_C55,Malignant neoplasm of other parts of uterus,2015,,0
Y85-89,From 85 to 89 years,C54_C55,Malignant neoplasm of other parts of uterus,2016,,0
Y85-89,From 85 to 89 years,C54_C55,Malignant neoplasm of other parts of uterus,2017,,0
Y85-89,From 85 to 89 years,C54_C55,Malignant neoplasm of other parts of uterus,2018,,0
Y85-89,From 85 to 89 years,C54_C55,Malignant neoplasm of other parts of uterus,2019,,0
Y85-89,From 85 to 89 years,C54_C55,Malignant neoplasm of other parts of uterus,2020,,0
Y85-89,From 85 to 89 years,C54_C55,Malignant neoplasm of other parts of uterus,2021,,0
Y85-89,From 85 to 89 years,C56,Malignant neoplasm of ovary,2011,,0
Y85-89,From 85 to 89 years,C56,Malignant neoplasm of ovary,2012,,0
Y85-89,From 85 to 89 years,C56,Malignant neoplasm of ovary,2013,,0
Y85-89,From 85 to 89 years,C56,Malignant neoplasm of ovary,2014,,0
Y85-89,From 85 to 89 years,C56,Malignant neoplasm of ovary,2015,,0
Y85-89,From 85 to 89 years,C56,Malignant neoplasm of ovary,2016,,0
Y85-89,From 85 to 89 years,C56,Malignant neoplasm of ovary,2017,,0
Y85-89,From 85 to 89 years,C56,Malignant neoplasm of ovary,2018,,0
Y85-89,From 85 to 89 years,C56,Malignant neoplasm of ovary,2019,,0
Y85-89,From 85 to 89 years,C56,Malignant neoplasm of ovary,2020,,0
Y85-89,From 85 to 89 years,C56,Malignant neoplasm of ovary,2021,,0
Y85-89,From 85 to 89 years,C61,Malignant neoplasm of prostate,2011,,511.09
Y85-89,From 85 to 89 years,C61,Malignant neoplasm of prostate,2012,,510.55
Y85-89,From 85 to 89 years,C61,Malignant neoplasm of prostate,2013,,465.25
Y85-89,From 85 to 89 years,C61,Malignant neoplasm of prostate,2014,,455.3
Y85-89,From 85 to 89 years,C61,Malignant neoplasm of prostate,2015,,436.39
Y85-89,From 85 to 89 years,C61,Malignant neoplasm of prostate,2016,,438.79
Y85-89,From 85 to 89 years,C61,Malignant neoplasm of prostate,2017,,429.58
Y85-89,From 85 to 89 years,C61,Malignant neoplasm of prostate,2018,,410.19
Y85-89,From 85 to 89 years,C61,Malignant neoplasm of prostate,2019,,398.62
Y85-89,From 85 to 89 years,C61,Malignant neoplasm of prostate,2020,,400.61
Y85-89,From 85 to 89 years,C61,Malignant neoplasm of prostate,2021,,397.63
Y85-89,From 85 to 89 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2011,,49.87
Y85-89,From 85 to 89 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2012,,52.65
Y85-89,From 85 to 89 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2013,,53.4
Y85-89,From 85 to 89 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2014,,45.5
Y85-89,From 85 to 89 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2015,,56.05
Y85-89,From 85 to 89 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2016,,49.24
Y85-89,From 85 to 89 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2017,,55.1
Y85-89,From 85 to 89 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2018,,52.95
Y85-89,From 85 to 89 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2019,,48.86
Y85-89,From 85 to 89 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2020,,53.18
Y85-89,From 85 to 89 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2021,,58.04
Y85-89,From 85 to 89 years,C67,Malignant neoplasm of bladder,2011,,267.92
Y85-89,From 85 to 89 years,C67,Malignant neoplasm of bladder,2012,,273.26
Y85-89,From 85 to 89 years,C67,Malignant neoplasm of bladder,2013,,270.89
Y85-89,From 85 to 89 years,C67,Malignant neoplasm of bladder,2014,,234.61
Y85-89,From 85 to 89 years,C67,Malignant neoplasm of bladder,2015,,238.44
Y85-89,From 85 to 89 years,C67,Malignant neoplasm of bladder,2016,,235.34
Y85-89,From 85 to 89 years,C67,Malignant neoplasm of bladder,2017,,220.12
Y85-89,From 85 to 89 years,C67,Malignant neoplasm of bladder,2018,,191.29
Y85-89,From 85 to 89 years,C67,Malignant neoplasm of bladder,2019,,204.28
Y85-89,From 85 to 89 years,C67,Malignant neoplasm of bladder,2020,,205.62
Y85-89,From 85 to 89 years,C67,Malignant neoplasm of bladder,2021,,194.2
Y85-89,From 85 to 89 years,C70-C72,Malignant neoplasm of brain and central nervous system,2011,,23.97
Y85-89,From 85 to 89 years,C70-C72,Malignant neoplasm of brain and central nervous system,2012,,29.66
Y85-89,From 85 to 89 years,C70-C72,Malignant neoplasm of brain and central nervous system,2013,,24.92
Y85-89,From 85 to 89 years,C70-C72,Malignant neoplasm of brain and central nervous system,2014,,24.79
Y85-89,From 85 to 89 years,C70-C72,Malignant neoplasm of brain and central nervous system,2015,,22.68
Y85-89,From 85 to 89 years,C70-C72,Malignant neoplasm of brain and central nervous system,2016,,26.32
Y85-89,From 85 to 89 years,C70-C72,Malignant neoplasm of brain and central nervous system,2017,,25.48
Y85-89,From 85 to 89 years,C70-C72,Malignant neoplasm of brain and central nervous system,2018,,28.18
Y85-89,From 85 to 89 years,C70-C72,Malignant neoplasm of brain and central nervous system,2019,,26.78
Y85-89,From 85 to 89 years,C70-C72,Malignant neoplasm of brain and central nervous system,2020,,26.73
Y85-89,From 85 to 89 years,C70-C72,Malignant neoplasm of brain and central nervous system,2021,,29.02
Y85-89,From 85 to 89 years,C73,Malignant neoplasm of thyroid gland,2011,,3.48
Y85-89,From 85 to 89 years,C73,Malignant neoplasm of thyroid gland,2012,,4.82
Y85-89,From 85 to 89 years,C73,Malignant neoplasm of thyroid gland,2013,,6.41
Y85-89,From 85 to 89 years,C73,Malignant neoplasm of thyroid gland,2014,,3.4
Y85-89,From 85 to 89 years,C73,Malignant neoplasm of thyroid gland,2015,,4.86
Y85-89,From 85 to 89 years,C73,Malignant neoplasm of thyroid gland,2016,,3.41
Y85-89,From 85 to 89 years,C73,Malignant neoplasm of thyroid gland,2017,,4.15
Y85-89,From 85 to 89 years,C73,Malignant neoplasm of thyroid gland,2018,,3.42
Y85-89,From 85 to 89 years,C73,Malignant neoplasm of thyroid gland,2019,,5.8
Y85-89,From 85 to 89 years,C73,Malignant neoplasm of thyroid gland,2020,,4.91
Y85-89,From 85 to 89 years,C73,Malignant neoplasm of thyroid gland,2021,,5.7
Y85-89,From 85 to 89 years,C81-C86,Hodgkin disease and lymphomas,2011,,56.06
Y85-89,From 85 to 89 years,C81-C86,Hodgkin disease and lymphomas,2012,,63.03
Y85-89,From 85 to 89 years,C81-C86,Hodgkin disease and lymphomas,2013,,64.43
Y85-89,From 85 to 89 years,C81-C86,Hodgkin disease and lymphomas,2014,,55.34
Y85-89,From 85 to 89 years,C81-C86,Hodgkin disease and lymphomas,2015,,61.23
Y85-89,From 85 to 89 years,C81-C86,Hodgkin disease and lymphomas,2016,,65.03
Y85-89,From 85 to 89 years,C81-C86,Hodgkin disease and lymphomas,2017,,61.03
Y85-89,From 85 to 89 years,C81-C86,Hodgkin disease and lymphomas,2018,,63.19
Y85-89,From 85 to 89 years,C81-C86,Hodgkin disease and lymphomas,2019,,64.04
Y85-89,From 85 to 89 years,C81-C86,Hodgkin disease and lymphomas,2020,,64.63
Y85-89,From 85 to 89 years,C81-C86,Hodgkin disease and lymphomas,2021,,67.27
Y85-89,From 85 to 89 years,C88_C90_C96,"Other malignant neoplasm of lymphoid, haematopoietic and related tissue",2011,,44.46
Y85-89,From 85 to 89 years,C88_C90_C96,"Other malignant neoplasm of lymphoid, haematopoietic and related tissue",2012,,53.02
Y85-89,From 85 to 89 years,C88_C90_C96,"Other malignant neoplasm of lymphoid, haematopoietic and related tissue",2013,,54.82
Y85-89,From 85 to 89 years,C88_C90_C96,"Other malignant neoplasm of lymphoid, haematopoietic and related tissue",2014,,56.02
Y85-89,From 85 to 89 years,C88_C90_C96,"Other malignant neoplasm of lymphoid, haematopoietic and related tissue",2015,,48.6
Y85-89,From 85 to 89 years,C88_C90_C96,"Other malignant neoplasm of lymphoid, haematopoietic and related tissue",2016,,54.19
Y85-89,From 85 to 89 years,C88_C90_C96,"Other malignant neoplasm of lymphoid, haematopoietic and related tissue",2017,,48.59
Y85-89,From 85 to 89 years,C88_C90_C96,"Other malignant neoplasm of lymphoid, haematopoietic and related tissue",2018,,48.96
Y85-89,From 85 to 89 years,C88_C90_C96,"Other malignant neoplasm of lymphoid, haematopoietic and related tissue",2019,,52.73
Y85-89,From 85 to 89 years,C88_C90_C96,"Other malignant neoplasm of lymphoid, haematopoietic and related tissue",2020,,45.54
Y85-89,From 85 to 89 years,C88_C90_C96,"Other malignant neoplasm of lymphoid, haematopoietic and related tissue",2021,,44.75
Y85-89,From 85 to 89 years,C91-C95,Leukaemia,2011,,81.19
Y85-89,From 85 to 89 years,C91-C95,Leukaemia,2012,,99
Y85-89,From 85 to 89 years,C91-C95,Leukaemia,2013,,95.76
Y85-89,From 85 to 89 years,C91-C95,Leukaemia,2014,,88.95
Y85-89,From 85 to 89 years,C91-C95,Leukaemia,2015,,100.76
Y85-89,From 85 to 89 years,C91-C95,Leukaemia,2016,,88.25
Y85-89,From 85 to 89 years,C91-C95,Leukaemia,2017,,85.03
Y85-89,From 85 to 89 years,C91-C95,Leukaemia,2018,,87.96
Y85-89,From 85 to 89 years,C91-C95,Leukaemia,2019,,97.17
Y85-89,From 85 to 89 years,C91-C95,Leukaemia,2020,,85.36
Y85-89,From 85 to 89 years,C91-C95,Leukaemia,2021,,82.73
Y85-89,From 85 to 89 years,C_OTH,Other malignant neoplasms (remainder of C00-C97),2011,,274.1
Y85-89,From 85 to 89 years,C_OTH,Other malignant neoplasms (remainder of C00-C97),2012,,258.8
Y85-89,From 85 to 89 years,C_OTH,Other malignant neoplasms (remainder of C00-C97),2013,,273.38
Y85-89,From 85 to 89 years,C_OTH,Other malignant neoplasms (remainder of C00-C97),2014,,270.94
Y85-89,From 85 to 89 years,C_OTH,Other malignant neoplasms (remainder of C00-C97),2015,,272.46
Y85-89,From 85 to 89 years,C_OTH,Other malignant neoplasms (remainder of C00-C97),2016,,264.14
Y85-89,From 85 to 89 years,C_OTH,Other malignant neoplasms (remainder of C00-C97),2017,,267.82
Y85-89,From 85 to 89 years,C_OTH,Other malignant neoplasms (remainder of C00-C97),2018,,267.3
Y85-89,From 85 to 89 years,C_OTH,Other malignant neoplasms (remainder of C00-C97),2019,,279.36
Y85-89,From 85 to 89 years,C_OTH,Other malignant neoplasms (remainder of C00-C97),2020,,264.53
Y85-89,From 85 to 89 years,C_OTH,Other malignant neoplasms (remainder of C00-C97),2021,,276.11
Y85-89,From 85 to 89 years,D00-D48,Non-malignant neoplasms (benign and uncertain),2011,,148.46
Y85-89,From 85 to 89 years,D00-D48,Non-malignant neoplasms (benign and uncertain),2012,,152.39
Y85-89,From 85 to 89 years,D00-D48,Non-malignant neoplasms (benign and uncertain),2013,,149.15
Y85-89,From 85 to 89 years,D00-D48,Non-malignant neoplasms (benign and uncertain),2014,,138.86
Y85-89,From 85 to 89 years,D00-D48,Non-malignant neoplasms (benign and uncertain),2015,,148.38
Y85-89,From 85 to 89 years,D00-D48,Non-malignant neoplasms (benign and uncertain),2016,,151.73
Y85-89,From 85 to 89 years,D00-D48,Non-malignant neoplasms (benign and uncertain),2017,,149.02
Y85-89,From 85 to 89 years,D00-D48,Non-malignant neoplasms (benign and uncertain),2018,,143.47
Y85-89,From 85 to 89 years,D00-D48,Non-malignant neoplasms (benign and uncertain),2019,,149.07
Y85-89,From 85 to 89 years,D00-D48,Non-malignant neoplasms (benign and uncertain),2020,,137.72
Y85-89,From 85 to 89 years,D00-D48,Non-malignant neoplasms (benign and uncertain),2021,,135.89
Y85-89,From 85 to 89 years,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2011,,42.91
Y85-89,From 85 to 89 years,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2012,,51.54
Y85-89,From 85 to 89 years,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2013,,43.07
Y85-89,From 85 to 89 years,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2014,,50.59
Y85-89,From 85 to 89 years,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2015,,64.47
Y85-89,From 85 to 89 years,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2016,,47.38
Y85-89,From 85 to 89 years,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2017,,50.96
Y85-89,From 85 to 89 years,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2018,,58.64
Y85-89,From 85 to 89 years,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2019,,52.17
Y85-89,From 85 to 89 years,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2020,,52.36
Y85-89,From 85 to 89 years,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2021,,62.93
Y85-89,From 85 to 89 years,E10-E14,Diabetes mellitus,2011,,336.73
Y85-89,From 85 to 89 years,E10-E14,Diabetes mellitus,2012,,324.79
Y85-89,From 85 to 89 years,E10-E14,Diabetes mellitus,2013,,279.79
Y85-89,From 85 to 89 years,E10-E14,Diabetes mellitus,2014,,287.58
Y85-89,From 85 to 89 years,E10-E14,Diabetes mellitus,2015,,305.18
Y85-89,From 85 to 89 years,E10-E14,Diabetes mellitus,2016,,276.84
Y85-89,From 85 to 89 years,E10-E14,Diabetes mellitus,2017,,292.11
Y85-89,From 85 to 89 years,E10-E14,Diabetes mellitus,2018,,295.48
Y85-89,From 85 to 89 years,E10-E14,Diabetes mellitus,2019,,281.02
Y85-89,From 85 to 89 years,E10-E14,Diabetes mellitus,2020,,324.8
Y85-89,From 85 to 89 years,E10-E14,Diabetes mellitus,2021,,305.68
Y85-89,From 85 to 89 years,E_OTH,"Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)",2011,,64.18
Y85-89,From 85 to 89 years,E_OTH,"Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)",2012,,48.94
Y85-89,From 85 to 89 years,E_OTH,"Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)",2013,,53.04
Y85-89,From 85 to 89 years,E_OTH,"Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)",2014,,66.55
Y85-89,From 85 to 89 years,E_OTH,"Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)",2015,,84.23
Y85-89,From 85 to 89 years,E_OTH,"Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)",2016,,74.32
Y85-89,From 85 to 89 years,E_OTH,"Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)",2017,,78.81
Y85-89,From 85 to 89 years,E_OTH,"Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)",2018,,85.68
Y85-89,From 85 to 89 years,E_OTH,"Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)",2019,,81.99
Y85-89,From 85 to 89 years,E_OTH,"Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)",2020,,84.54
Y85-89,From 85 to 89 years,E_OTH,"Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)",2021,,94.39
Y85-89,From 85 to 89 years,F01_F03,Dementia,2011,,566.76
Y85-89,From 85 to 89 years,F01_F03,Dementia,2012,,586.56
Y85-89,From 85 to 89 years,F01_F03,Dementia,2013,,570.62
Y85-89,From 85 to 89 years,F01_F03,Dementia,2014,,612.84
Y85-89,From 85 to 89 years,F01_F03,Dementia,2015,,657.02
Y85-89,From 85 to 89 years,F01_F03,Dementia,2016,,640.07
Y85-89,From 85 to 89 years,F01_F03,Dementia,2017,,655.93
Y85-89,From 85 to 89 years,F01_F03,Dementia,2018,,643.62
Y85-89,From 85 to 89 years,F01_F03,Dementia,2019,,620.56
Y85-89,From 85 to 89 years,F01_F03,Dementia,2020,,543.24
Y85-89,From 85 to 89 years,F01_F03,Dementia,2021,,549.52
Y85-89,From 85 to 89 years,F_OTH,Other mental and behavioural disorders (remainder of F00-F99),2011,,8.89
Y85-89,From 85 to 89 years,F_OTH,Other mental and behavioural disorders (remainder of F00-F99),2012,,10.38
Y85-89,From 85 to 89 years,F_OTH,Other mental and behavioural disorders (remainder of F00-F99),2013,,8.19
Y85-89,From 85 to 89 years,F_OTH,Other mental and behavioural disorders (remainder of F00-F99),2014,,15.28
Y85-89,From 85 to 89 years,F_OTH,Other mental and behavioural disorders (remainder of F00-F99),2015,,18.14
Y85-89,From 85 to 89 years,F_OTH,Other mental and behavioural disorders (remainder of F00-F99),2016,,8.36
Y85-89,From 85 to 89 years,F_OTH,Other mental and behavioural disorders (remainder of F00-F99),2017,,7.11
Y85-89,From 85 to 89 years,F_OTH,Other mental and behavioural disorders (remainder of F00-F99),2018,,5.12
Y85-89,From 85 to 89 years,F_OTH,Other mental and behavioural disorders (remainder of F00-F99),2019,,9.39
Y85-89,From 85 to 89 years,F_OTH,Other mental and behavioural disorders (remainder of F00-F99),2020,,9.27
Y85-89,From 85 to 89 years,F_OTH,Other mental and behavioural disorders (remainder of F00-F99),2021,,6.51
Y85-89,From 85 to 89 years,G20,Parkinson disease,2011,,164.31
Y85-89,From 85 to 89 years,G20,Parkinson disease,2012,,175.37
Y85-89,From 85 to 89 years,G20,Parkinson disease,2013,,150.57
Y85-89,From 85 to 89 years,G20,Parkinson disease,2014,,175.87
Y85-89,From 85 to 89 years,G20,Parkinson disease,2015,,179.8
Y85-89,From 85 to 89 years,G20,Parkinson disease,2016,,178.37
Y85-89,From 85 to 89 years,G20,Parkinson disease,2017,,190.2
Y85-89,From 85 to 89 years,G20,Parkinson disease,2018,,174.5
Y85-89,From 85 to 89 years,G20,Parkinson disease,2019,,189.37
Y85-89,From 85 to 89 years,G20,Parkinson disease,2020,,192.26
Y85-89,From 85 to 89 years,G20,Parkinson disease,2021,,189.86
Y85-89,From 85 to 89 years,G30,Alzheimer disease,2011,,402.07
Y85-89,From 85 to 89 years,G30,Alzheimer disease,2012,,441.96
Y85-89,From 85 to 89 years,G30,Alzheimer disease,2013,,424.67
Y85-89,From 85 to 89 years,G30,Alzheimer disease,2014,,441.38
Y85-89,From 85 to 89 years,G30,Alzheimer disease,2015,,457.77
Y85-89,From 85 to 89 years,G30,Alzheimer disease,2016,,430.12
Y85-89,From 85 to 89 years,G30,Alzheimer disease,2017,,414.47
Y85-89,From 85 to 89 years,G30,Alzheimer disease,2018,,401.94
Y85-89,From 85 to 89 years,G30,Alzheimer disease,2019,,388.96
Y85-89,From 85 to 89 years,G30,Alzheimer disease,2020,,408.25
Y85-89,From 85 to 89 years,G30,Alzheimer disease,2021,,332.8
Y85-89,From 85 to 89 years,G_H,Diseases of the nervous system and the sense organs (G00-H95),2011,,654.52
Y85-89,From 85 to 89 years,G_H,Diseases of the nervous system and the sense organs (G00-H95),2012,,728.56
Y85-89,From 85 to 89 years,G_H,Diseases of the nervous system and the sense organs (G00-H95),2013,,667.8
Y85-89,From 85 to 89 years,G_H,Diseases of the nervous system and the sense organs (G00-H95),2014,,722.17
Y85-89,From 85 to 89 years,G_H,Diseases of the nervous system and the sense organs (G00-H95),2015,,752.26
Y85-89,From 85 to 89 years,G_H,Diseases of the nervous system and the sense organs (G00-H95),2016,,724.61
Y85-89,From 85 to 89 years,G_H,Diseases of the nervous system and the sense organs (G00-H95),2017,,721.4
Y85-89,From 85 to 89 years,G_H,Diseases of the nervous system and the sense organs (G00-H95),2018,,698.27
Y85-89,From 85 to 89 years,G_H,Diseases of the nervous system and the sense organs (G00-H95),2019,,699.79
Y85-89,From 85 to 89 years,G_H,Diseases of the nervous system and the sense organs (G00-H95),2020,,713.41
Y85-89,From 85 to 89 years,G_H,Diseases of the nervous system and the sense organs (G00-H95),2021,,650.69
Y85-89,From 85 to 89 years,G_H_OTH,Other diseases of the nervous system and the sense organs (remainder of G00-H95),2011,,88.15
Y85-89,From 85 to 89 years,G_H_OTH,Other diseases of the nervous system and the sense organs (remainder of G00-H95),2012,,111.23
Y85-89,From 85 to 89 years,G_H_OTH,Other diseases of the nervous system and the sense organs (remainder of G00-H95),2013,,92.55
Y85-89,From 85 to 89 years,G_H_OTH,Other diseases of the nervous system and the sense organs (remainder of G00-H95),2014,,104.91
Y85-89,From 85 to 89 years,G_H_OTH,Other diseases of the nervous system and the sense organs (remainder of G00-H95),2015,,114.69
Y85-89,From 85 to 89 years,G_H_OTH,Other diseases of the nervous system and the sense organs (remainder of G00-H95),2016,,116.12
Y85-89,From 85 to 89 years,G_H_OTH,Other diseases of the nervous system and the sense organs (remainder of G00-H95),2017,,116.73
Y85-89,From 85 to 89 years,G_H_OTH,Other diseases of the nervous system and the sense organs (remainder of G00-H95),2018,,121.83
Y85-89,From 85 to 89 years,G_H_OTH,Other diseases of the nervous system and the sense organs (remainder of G00-H95),2019,,121.46
Y85-89,From 85 to 89 years,G_H_OTH,Other diseases of the nervous system and the sense organs (remainder of G00-H95),2020,,112.9
Y85-89,From 85 to 89 years,G_H_OTH,Other diseases of the nervous system and the sense organs (remainder of G00-H95),2021,,128.02
Y85-89,From 85 to 89 years,I20-I25,Ischaemic heart diseases,2011,,1281.99
Y85-89,From 85 to 89 years,I20-I25,Ischaemic heart diseases,2012,,1286.94
Y85-89,From 85 to 89 years,I20-I25,Ischaemic heart diseases,2013,,1149.42
Y85-89,From 85 to 89 years,I20-I25,Ischaemic heart diseases,2014,,1113.3
Y85-89,From 85 to 89 years,I20-I25,Ischaemic heart diseases,2015,,1083.36
Y85-89,From 85 to 89 years,I20-I25,Ischaemic heart diseases,2016,,1031.18
Y85-89,From 85 to 89 years,I20-I25,Ischaemic heart diseases,2017,,1050.55
Y85-89,From 85 to 89 years,I20-I25,Ischaemic heart diseases,2018,,918.6
Y85-89,From 85 to 89 years,I20-I25,Ischaemic heart diseases,2019,,868.46
Y85-89,From 85 to 89 years,I20-I25,Ischaemic heart diseases,2020,,843.77
Y85-89,From 85 to 89 years,I20-I25,Ischaemic heart diseases,2021,,808.27
Y85-89,From 85 to 89 years,I20_I23-I25,Other ischaemic heart diseases,2011,,681.59
Y85-89,From 85 to 89 years,I20_I23-I25,Other ischaemic heart diseases,2012,,712.25
Y85-89,From 85 to 89 years,I20_I23-I25,Other ischaemic heart diseases,2013,,638.25
Y85-89,From 85 to 89 years,I20_I23-I25,Other ischaemic heart diseases,2014,,645.77
Y85-89,From 85 to 89 years,I20_I23-I25,Other ischaemic heart diseases,2015,,643.41
Y85-89,From 85 to 89 years,I20_I23-I25,Other ischaemic heart diseases,2016,,627.38
Y85-89,From 85 to 89 years,I20_I23-I25,Other ischaemic heart diseases,2017,,641.11
Y85-89,From 85 to 89 years,I20_I23-I25,Other ischaemic heart diseases,2018,,553.66
Y85-89,From 85 to 89 years,I20_I23-I25,Other ischaemic heart diseases,2019,,531.95
Y85-89,From 85 to 89 years,I20_I23-I25,Other ischaemic heart diseases,2020,,506.97
Y85-89,From 85 to 89 years,I20_I23-I25,Other ischaemic heart diseases,2021,,481.71
Y85-89,From 85 to 89 years,I21_I22,Acute myocardial infarction including subsequent myocardial infarction,2011,,600.4
Y85-89,From 85 to 89 years,I21_I22,Acute myocardial infarction including subsequent myocardial infarction,2012,,574.69
Y85-89,From 85 to 89 years,I21_I22,Acute myocardial infarction including subsequent myocardial infarction,2013,,511.17
Y85-89,From 85 to 89 years,I21_I22,Acute myocardial infarction including subsequent myocardial infarction,2014,,467.52
Y85-89,From 85 to 89 years,I21_I22,Acute myocardial infarction including subsequent myocardial infarction,2015,,439.95
Y85-89,From 85 to 89 years,I21_I22,Acute myocardial infarction including subsequent myocardial infarction,2016,,403.8
Y85-89,From 85 to 89 years,I21_I22,Acute myocardial infarction including subsequent myocardial infarction,2017,,409.43
Y85-89,From 85 to 89 years,I21_I22,Acute myocardial infarction including subsequent myocardial infarction,2018,,364.93
Y85-89,From 85 to 89 years,I21_I22,Acute myocardial infarction including subsequent myocardial infarction,2019,,336.51
Y85-89,From 85 to 89 years,I21_I22,Acute myocardial infarction including subsequent myocardial infarction,2020,,336.8
Y85-89,From 85 to 89 years,I21_I22,Acute myocardial infarction including subsequent myocardial infarction,2021,,326.56
Y85-89,From 85 to 89 years,I30-I51,Other heart diseases,2011,,1155.95
Y85-89,From 85 to 89 years,I30-I51,Other heart diseases,2012,,1200.18
Y85-89,From 85 to 89 years,I30-I51,Other heart diseases,2013,,1122.37
Y85-89,From 85 to 89 years,I30-I51,Other heart diseases,2014,,1071.87
Y85-89,From 85 to 89 years,I30-I51,Other heart diseases,2015,,1177.32
Y85-89,From 85 to 89 years,I30-I51,Other heart diseases,2016,,1128.72
Y85-89,From 85 to 89 years,I30-I51,Other heart diseases,2017,,1175.27
Y85-89,From 85 to 89 years,I30-I51,Other heart diseases,2018,,1118.71
Y85-89,From 85 to 89 years,I30-I51,Other heart diseases,2019,,1138.44
Y85-89,From 85 to 89 years,I30-I51,Other heart diseases,2020,,1112.39
Y85-89,From 85 to 89 years,I30-I51,Other heart diseases,2021,,1090.08
Y85-89,From 85 to 89 years,I60-I69,Cerebrovascular diseases,2011,,999.76
Y85-89,From 85 to 89 years,I60-I69,Cerebrovascular diseases,2012,,1020.73
Y85-89,From 85 to 89 years,I60-I69,Cerebrovascular diseases,2013,,902.74
Y85-89,From 85 to 89 years,I60-I69,Cerebrovascular diseases,2014,,878.01
Y85-89,From 85 to 89 years,I60-I69,Cerebrovascular diseases,2015,,855.94
Y85-89,From 85 to 89 years,I60-I69,Cerebrovascular diseases,2016,,773.85
Y85-89,From 85 to 89 years,I60-I69,Cerebrovascular diseases,2017,,802.28
Y85-89,From 85 to 89 years,I60-I69,Cerebrovascular diseases,2018,,748.94
Y85-89,From 85 to 89 years,I60-I69,Cerebrovascular diseases,2019,,702
Y85-89,From 85 to 89 years,I60-I69,Cerebrovascular diseases,2020,,691.6
Y85-89,From 85 to 89 years,I60-I69,Cerebrovascular diseases,2021,,670.76
Y85-89,From 85 to 89 years,I_OTH,Other diseases of the circulatory system (remainder of I00-I99),2011,,607.75
Y85-89,From 85 to 89 years,I_OTH,Other diseases of the circulatory system (remainder of I00-I99),2012,,634.39
Y85-89,From 85 to 89 years,I_OTH,Other diseases of the circulatory system (remainder of I00-I99),2013,,621.52
Y85-89,From 85 to 89 years,I_OTH,Other diseases of the circulatory system (remainder of I00-I99),2014,,617.59
Y85-89,From 85 to 89 years,I_OTH,Other diseases of the circulatory system (remainder of I00-I99),2015,,620.73
