age,Age class,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),TIME_PERIOD,Time,OBS_VALUE
Y35-39,From 35 to 39 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2013,,1.54
Y35-39,From 35 to 39 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2014,,1.23
Y35-39,From 35 to 39 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2015,,1.62
Y35-39,From 35 to 39 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2016,,1.52
Y35-39,From 35 to 39 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2017,,1.58
Y35-39,From 35 to 39 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2018,,1.31
Y35-39,From 35 to 39 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2019,,0.95
Y35-39,From 35 to 39 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2020,,1.6
Y35-39,From 35 to 39 years,C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",2021,,1.61
Y35-39,From 35 to 39 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2011,,0.86
Y35-39,From 35 to 39 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2012,,0.62
Y35-39,From 35 to 39 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2013,,0.67
Y35-39,From 35 to 39 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2014,,0.34
Y35-39,From 35 to 39 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2015,,0.45
Y35-39,From 35 to 39 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2016,,0.42
Y35-39,From 35 to 39 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2017,,0.54
Y35-39,From 35 to 39 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2018,,0.17
Y35-39,From 35 to 39 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2019,,0.59
Y35-39,From 35 to 39 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2020,,0.8
Y35-39,From 35 to 39 years,C22,Malignant neoplasm of liver and intrahepatic bile ducts,2021,,0.51
Y35-39,From 35 to 39 years,C25,Malignant neoplasm of pancreas,2011,,0.38
Y35-39,From 35 to 39 years,C25,Malignant neoplasm of pancreas,2012,,0.57
Y35-39,From 35 to 39 years,C25,Malignant neoplasm of pancreas,2013,,0.43
Y35-39,From 35 to 39 years,C25,Malignant neoplasm of pancreas,2014,,0.79
Y35-39,From 35 to 39 years,C25,Malignant neoplasm of pancreas,2015,,1.11
Y35-39,From 35 to 39 years,C25,Malignant neoplasm of pancreas,2016,,1.15
Y35-39,From 35 to 39 years,C25,Malignant neoplasm of pancreas,2017,,1.03
Y35-39,From 35 to 39 years,C25,Malignant neoplasm of pancreas,2018,,0.63
Y35-39,From 35 to 39 years,C25,Malignant neoplasm of pancreas,2019,,0.71
Y35-39,From 35 to 39 years,C25,Malignant neoplasm of pancreas,2020,,0.37
Y35-39,From 35 to 39 years,C25,Malignant neoplasm of pancreas,2021,,0.39
Y35-39,From 35 to 39 years,C32,Malignant neoplasm of larynx,2011,,0.05
Y35-39,From 35 to 39 years,C32,Malignant neoplasm of larynx,2012,,0.05
Y35-39,From 35 to 39 years,C32,Malignant neoplasm of larynx,2013,,0.1
Y35-39,From 35 to 39 years,C32,Malignant neoplasm of larynx,2014,,0.1
Y35-39,From 35 to 39 years,C32,Malignant neoplasm of larynx,2015,,0.1
Y35-39,From 35 to 39 years,C32,Malignant neoplasm of larynx,2016,,0
Y35-39,From 35 to 39 years,C32,Malignant neoplasm of larynx,2017,,0
Y35-39,From 35 to 39 years,C32,Malignant neoplasm of larynx,2018,,0.23
Y35-39,From 35 to 39 years,C32,Malignant neoplasm of larynx,2019,,0.12
Y35-39,From 35 to 39 years,C32,Malignant neoplasm of larynx,2020,,0
